Station Name,Line,Station Number,Lattitude,Longitude,ID
Sutter Avenue - Rutland Road,4,48,40.664884,-73.922882,448
Saratoga Avenue,4,49,40.661531,-73.915586,449
Rockaway Avenue,4,50,40.662541,-73.908892,450
Junius Street,4,51,40.663615,-73.90151,451
Pennsylvania Avenue,4,52,40.664722,-73.894129,452
Van Siclen Avenue,4,53,40.665535,-73.888593,453
New Lots Avenue,4,54,40.666382,-73.882585,454
Eastchester - Dyre Avenue,5,1,40.889055,-73.830614,501
Baychester Avenue,5,2,40.87864,-73.838369,502
Gun Hill Road,5,3,40.87017,-73.845806,503
Pelham Parkway,5,4,40.85813,-73.856063,504
Morris Park,5,5,40.854429,-73.860397,505
Nereid Avenue,5,6,40.898,-73.854,506
233 Street,5,7,40.893,-73.857,507
225 Street,5,8,40.888,-73.86,508
219 Street,5,9,40.883,-73.863,509
Gun Hill Road,5,10,40.877,-73.867,510
Burke Avenue,5,11,40.871,-73.867,511
Allerton Avenue,5,12,40.865,-73.867,512
Pelham Parkway,5,13,40.857,-73.868,513
Bronx Park East,5,14,40.849,-73.868,514
East 180 Street,5,15,40.841,-73.874,515
West Farms Square - East Tremont Avenue,5,16,40.84,-73.88,516
174 Street,5,17,40.837,-73.888,517
Freeman Street,5,18,40.83,-73.892,518
Simpson Street,5,19,40.824,-73.893,519
Intervale Avenue,5,20,40.822,-73.897,520
Prospect Avenue,5,21,40.819,-73.901,521
Jackson Avenue,5,22,40.8163,-73.908,522
3 Avenue - 149 Street,5,23,40.816099,-73.917676,523
149 Street - Grand Concourse,5,24,40.8181,-73.9275,524
138 Street,5,25,40.81303,-73.929963,525
125 Street,5,26,40.804259,-73.937473,526
86 Street,5,27,40.779469,-73.955626,527
59 Street,5,28,40.762471,-73.9679,528
Grand Central - 42 Street,5,29,40.752283,-73.977519,529
14 Street - Union Square,5,30,40.734722,-73.990278,530
Brooklyn Bridge - City Hall,5,31,40.712778,-74.004722,531
Fulton Street,5,32,40.710206,-74.007744,532
Wall Street,5,33,40.70771,-74.011717,533
Bowling Green,5,34,40.704106,-74.014521,534
Borough Hill,5,35,40.693655,-73.990216,535
Nevins Street,5,36,40.688709,-73.980904,536
Atlantic Avenue,5,37,40.684462,-73.978758,537
Franklin Avenue,5,38,40.670711,-73.958545,538
President Street,5,39,40.668009,-73.950691,539
Sterling Street,5,40,40.663061,-73.950863,540
Winthrop Street,5,41,40.657039,-73.950262,541
Church Avenue,5,42,40.650755,-73.950005,542
Beverly Road,5,43,40.645122,-73.94906,543
Newkirk Avenue,5,44,40.639912,-73.94846,544
Flatbush Avenue - Brooklyn College,5,45,40.632361,-73.947486,545
Pelham Bay Park,6,1,40.852871,-73.827138,601
Buhre Avenue,6,2,40.846995,-73.832331,602
Middletown Road,6,3,40.843424,-73.836751,603
Westchester Square - East Tremont Avenue,6,4,40.840567,-73.842072,604
Zerega Avenue,6,5,40.836769,-73.846793,605
Castle Hill Avenue,6,6,40.834139,-73.851686,606
Parkchester,6,7,40.833333,-73.860972,607
Saint Lawrence Avenue,6,8,40.831573,-73.867307,608
Morrison - Sound View Avenues,6,9,40.829495,-73.874474,609
Elder Avenue,6,10,40.828553,-73.879194,610
Whitlock Avenue,6,11,40.827514,-73.886147,611
Hunts Point Avenue,6,12,40.820565,-73.89164,612
Longwood Avenue,6,13,40.816278,-73.896232,613
East 149 Street,6,14,40.812088,-73.904171,614
East 143 Street - Saint Mary's Street,6,15,40.808125,-73.907862,615
Cypress Avenue,6,16,40.805526,-73.914514,616
Brook Avenue,6,17,40.80754,-73.91932,617
3 Avenue - 138 Street,6,18,40.810963,-73.927217,618
125 Street,6,19,40.804259,-73.937473,619
116 Street,6,20,40.798607,-73.942022,620
110 Street,6,21,40.794773,-73.944426,621
103 Street,6,22,40.79029,-73.947687,622
96 Street,6,23,40.785773,-73.950949,623
86 Street,6,24,40.779469,-73.955626,624
77 Street,6,25,40.773587,-73.959875,625
68 Street - Hunter College,6,26,40.767834,-73.964124,626
59 Street,6,27,40.762471,-73.9679,627
51 Street,6,28,40.757075,-73.971977,628
Grand Central - 42 Street,6,29,40.752283,-73.977519,629
33 Street,6,30,40.746389,-73.981944,630
28 Street,6,31,40.74329,-73.984165,631
23 Street,6,32,40.740169,-73.98644,632
14 Street - Union Square,6,33,40.734722,-73.990278,633
Astor Place,6,34,40.729722,-73.991667,634
Broadway - Lafayette Street / Bleecker Street,6,35,40.725833,-73.994722,635
Spring Street,6,36,40.722222,-73.997222,636
Canal Street,6,37,40.718056,-74,637
Brooklyn Bridge - City Hall,6,38,40.712778,-74.004722,638
Flushing - Main Street,7,1,40.759522,-73.830317,701
Mets - Willets Point,7,2,40.754558,-73.845581,702
111 Street,7,3,40.751714,-73.855636,703
103 Street - Corona Plaza,7,4,40.749825,-73.862733,704
Junction Boulevard,7,5,40.749175,-73.869097,705
90 Street - Elmhurst Avenue,7,6,40.748333,-73.876389,706
82 Street - Jackson Heights,7,7,40.747631,-73.883828,707
74 Street - Broadway,7,8,40.746764,-73.891519,708
69 Street,7,9,40.746258,-73.89685,709
Woodside - 61 Street,7,10,40.745608,-73.902967,710
52 Street,7,11,40.744036,-73.912864,711
46 Street,7,12,40.743133,-73.918403,712
40 Street,7,13,40.743811,-73.924178,713
33 Street,7,14,40.744617,-73.931306,714
Queensboro Plaza,7,15,40.750653,-73.940344,715
Court Square,7,16,40.747615,-73.945069,716
Hunters Point Avenue,7,17,40.742381,-73.949258,717
Vernon Boulevard - Jackson Avenue,7,18,40.74264,-73.95391,718
Grand Central - 42 Street,7,19,40.752283,-73.977519,719
5 Avenue - Bryant Park,7,20,40.754799,-73.984208,720
Times Square - 42 Street,7,21,40.756,-73.987,721
34 Street - Hudson Yards,7,22,40.755839,-74.001961,722
Inwood - 207 Street,A,1,40.867672,-73.921165,1001
Dyckman Street,A,2,40.865465,-73.927345,1002
190 Street,A,3,40.858986,-73.93404,1003
181 Street,A,4,40.850891,-73.938289,1004
175 Street,A,5,40.946541,-73.940091,1005
Washington Heights - 168 Street,A,6,40.841022,-73.939791,1006
163 Street - Amsterdam Avenue,A,7,40.836866,-73.940134,1007
155 Street,A,8,40.830859,-73.9414,1008
145 Street,A,9,40.82404,-73.944769,1009
135 Street,A,10,40.81709,-73.94803,1010
125 Street,A,11,40.810756,-73.952665,1011
116 Street,A,12,40.804389,-73.955412,1012
Cathedral Parkway (110 Street),A,13,40.800524,-73.958244,1013
103 Street,A,14,40.79604,-73.96142,1014
96 Street,A,15,40.791622,-73.964725,1015
86 Street,A,16,40.785286,-73.969316,1016
81 Street - Museum of Natural History,A,17,40.781971,-73.971763,1017
72 Street,A,18,40.776154,-73.976011,1018
59 Street - Columbus Circle,A,19,40.767997,-73.981934,1019
50 Street,A,20,40.762276,-73.986139,1020
42 Street - Port Authority Bus Terminal,A,21,40.756,-73.987,1021
34 Street - Penn Station,A,22,40.752166,-73.993521,1022
23 Street,A,23,40.745274,-73.998499,1023
14 Street,A,24,40.739779,-74.002533,1024
West 4 Street,A,25,40.731682,-74.000945,1025
Spring Street,A,26,40.725503,-74.004035,1026
Canal Street,A,27,40.72186,-74.005365,1027
Chambers Street,A,28,40.712655,-74.009657,1028
Fulton Street,A,29,40.710206,-74.007744,1029
High Street,A,30,40.698889,-73.989722,1030
Jay Street - Metro Tech,A,31,40.693681,-73.987233,1031
Hoyt Street - Schermerhorn Street,A,32,40.689022,-73.986142,1032
Lafayette Avenue,A,33,40.686268,-73.974466,1033
Clinton-Washington Avenue,A,34,40.683176,-73.965883,1034
Franklin Avenue,A,35,40.681126,-73.955712,1035
Nostrand Avenue,A,36,40.680345,-73.949575,1036
Kingston - Throop Avenue,A,37,40.679857,-73.940606,1037
Utica Avenue,A,38,40.679239,-73.929062,1038
Ralph Avenue,A,39,40.678815,-73.92168,1039
Rockaway Avenue,A,40,40.67823,-73.910823,1040
Broadway Junction (East New York),A,41,40.678919,-73.903453,1041
Liberty Avenue,A,42,40.674357,-73.896489,1042
Van Siclen Avenue,A,43,40.672697,-73.890266,1043
Shepherd Avenue,A,44,40.674064,-73.880825,1044
Euclid Avenue,A,45,40.675366,-73.871899,1045
Grant Avenue,A,46,40.676635,-73.86559,1046
80 Street,A,47,40.679434,-73.857822,1047
88 Street,A,48,40.679857,-73.850968,1048
Rockaway Boulevard,A,49,40.680459,-73.843703,1049
Rockaway Boulevard,A1,1,40.680459,-73.843703,1101
104 Street,A1,2,40.682233,-73.837352,1102
111 Street,A1,3,40.684673,-73.831129,1103
Ozone Park - Lefferts Boulevard,A1,4,40.686203,-73.82422,1104
Rockaway Boulevard,A2,1,40.680459,-73.843703,1201
Aqueduct Racetrack,A2,2,40.672086,-73.835914,1202
Aqueduct - North Conduit Avenue,A2,3,40.668325,-73.834034,1203
Howard Beach - JFK Airport,A2,4,40.660445,-73.830316,1204
Broad Channel,A2,5,40.608618,-73.816,1205
Beach 67 Street,A2,6,40.59092,-73.79681,1206
Beach 60 Street,A2,7,40.592395,-73.788536,1207
Beach 44 Street,A2,8,40.592928,-73.775986,1208
Beach 36 Street,A2,9,40.595413,-73.768076,1209
Beach 25 Street,A2,10,40.600061,-73.761422,1210
Far Rockaway - Mott Avenue,A2,11,40.603983,-73.755426,1211
Broad Channel,A3,1,40.608618,-73.816,1301
Beach 90 Street,A3,2,40.588095,-73.813499,1302
Beach 98 Street,A3,3,40.585441,-73.820186,1303
Beach 105 Street,A3,4,40.538217,-73.827594,1304
Rockaway Park / Beach 116 Street,A3,5,40.580725,-73.83618,1305
Bedford Park Boulevard,B,1,40.872507,-73.887906,1401
Kingsbridge Road,B,2,40.866146,-73.894343,1402
Fordham Road,B,3,40.862414,-73.897133,1403
182-183 Streets,B,4,40.856766,-73.900309,1404
Tremont Avenue,B,5,40.849463,-73.905973,1405
174-175 Streets,B,6,40.845892,-73.910179,1406
170 Street,B,7,40.838814,-73.913741,1407
167 Street,B,8,40.8345,-73.9177,1408
161 Street - Yankee Stadium,B,9,40.827937,-73.925886,1409
155 Street,B,10,40.829917,-73.939104,1410
145 Street,B,11,40.82404,-73.944769,1411
135 Street,B,12,40.81709,-73.94803,1412
125 Street,B,13,40.810756,-73.952665,1413
116 Street,B,14,40.804389,-73.955412,1414
Cathedral Parkway (110 Street),B,15,40.800524,-73.958244,1415
103 Street,B,16,40.79604,-73.96142,1416
96 Street,B,17,40.791622,-73.964725,1417
86 Street,B,18,40.785286,-73.969316,1418
81 Street - Museum of Natural History,B,19,40.781971,-73.971763,1419
72 Street,B,20,40.776154,-73.976011,1420
59 Street - Columbus Circle,B,21,40.767997,-73.981934,1421
7 Avenue,B,22,40.762959,-73.981891,1422
47-50 Street - Rockefeller Center,B,23,40.758603,-73.981376,1423
42 Street - Bryant Park,B,24,40.754799,-73.984208,1424
34 Street - Herald Square,B,25,40.749338,-73.987985,1425
West 4 Street - Washington Square,B,26,40.731682,-74.000945,1426
Broadway - Lafayette Street / Bleecker Street,B,27,40.725833,-73.994722,1427
Grand Street,B,28,40.718119,-73.993864,1428
DeKalb Avenue,B,29,40.690254,-73.982277,1429
Atlantic Avenue,B,30,40.684462,-73.978758,1430
7 Avenue,B,31,40.679352,-73.973694,1431
Prospect Park,B,32,40.661507,-73.962461,1432
Church Avenue,B,33,40.64966,-73.963646,1433
Newkirk Plaza,B,34,40.6357,-73.963,1434
Kings Highway,B,35,40.609229,-73.95884,1435
Sheepshead Bay,B,36,40.587168,-73.953266,1436
Brighton Beach,B,37,40.577598,-73.961565,1437
Washington Height - 168 Street,C,1,40.841022,-73.939791,1501
163 Street - Amsterdam Avenue,C,2,40.836866,-73.940134,1502
155 Street,C,3,40.830859,-73.9414,1503
145 Street,C,4,40.82404,-73.944769,1504
135 Street,C,5,40.81709,-73.94803,1505
125 Street,C,6,40.810756,-73.952665,1506
116 Street,C,7,40.804389,-73.955412,1507
Cathedral Parkway (110 Street),C,8,40.800524,-73.958244,1508
103 Street,C,9,40.79604,-73.96142,1509
96 Street,C,10,40.791622,-73.964725,1510
86 Street,C,11,40.785286,-73.969316,1511
81 Street - Museum of Natural History,C,12,40.781971,-73.971763,1512
72 Street,C,13,40.776154,-73.976011,1513
59 Street - Columbus Cricel,C,14,40.767997,-73.981934,1514
50 Street,C,15,40.762276,-73.986139,1515
42 Street - Port Authority Bus Terminal,C,16,40.756,-73.987,1516
34 Street - Penn Station,C,17,40.752166,-73.993521,1517
23 Street,C,18,40.745274,-73.998499,1518
14 Street,C,19,40.739779,-74.002533,1519
West 4 Street,C,20,40.731682,-74.000945,1520
Spring Street,C,21,40.725503,-74.004035,1521
Canal Street,C,22,40.72186,-74.005365,1522
Chambers Street,C,23,40.712655,-74.009657,1523
Fulton Street,C,24,40.710206,-74.007744,1524
High Street,C,25,40.698889,-73.989722,1525
Jay Street - Metro Tech,C,26,40.693681,-73.987233,1526
Hoyt Street - Schermerhorn Street,C,27,40.689022,-73.986142,1527
Lafayette Avenue,C,28,40.686268,-73.974466,1528
Clinton-Washington Avenues,C,29,40.683176,-73.965883,1529
Franklin Avenue,C,30,40.681126,-73.955712,1530
Nostrand Avenue,C,31,40.680345,-73.949575,1531
Kingston-Throop Avenues,C,32,40.679857,-73.940606,1532
Utica Avenue,C,33,40.679239,-73.929062,1533
Ralph Avenue,C,34,40.678815,-73.92168,1534
Rockaway Avenue,C,35,40.67823,-73.910823,1535
Broadway Junction (East New York),C,36,40.678919,-73.903453,1536
Liberty Avenue,C,37,40.674357,-73.896489,1537
Van Siclen Avenue,C,38,40.672697,-73.890266,1538
Shepherd Avenue,C,39,40.674064,-73.880825,1539
Euclid Avenue,C,40,40.675366,-73.871899,1540
Norwood - 205 Street,D,1,40.874908,-73.879452,1601
Bedford Park Boulevard,D,2,40.872507,-73.887906,1602
Kingsbridge Road,D,3,40.866146,-73.894343,1603
Fordham Road,D,4,40.862414,-73.897133,1604
182-183 Streets,D,5,40.856766,-73.900309,1605
Tremont Avenue,D,6,40.849463,-73.905973,1606
174-175 Streets,D,7,40.845892,-73.910179,1607
170 Street,D,8,40.838814,-73.913741,1608
167 Street,D,9,40.8345,-73.9177,1609
161 Street - Yankee Stadium,D,10,40.827937,-73.925886,1610
155 Street,D,11,40.829917,-73.939104,1611
145 Street,D,12,40.82404,-73.944769,1612
125 Street,D,13,40.810756,-73.952665,1613
59 Street - Columbus Circle,D,14,40.767997,-73.981934,1614
7 Avenue,D,15,40.762959,-73.981891,1615
47-50 Streets - Rockefeller Center,D,16,40.758603,-73.981376,1616
42 Street - Bryant Park,D,17,40.754799,-73.984208,1617
34 Street - Herald Square,D,18,40.749338,-73.987985,1618
West 4 Street - Washington Square,D,19,40.731682,-74.000945,1619
Broadway - Lafayette Street / Bleecker Street,D,20,40.725833,-73.994722,1620
Grand Street,D,21,40.718119,-73.993864,1621
DeKalb Avenue,D,22,40.690254,-73.982277,1622
Atlantic Avenue / Barclays Center / 4 Avenue,D,23,40.684462,-73.978758,1623
Union Street,D,24,40.678108,-73.98391,1624
9 Street,D,25,40.670956,-73.991397,1625
Prospect Avenue,D,26,40.666789,-73.994079,1626
25 Street,D,27,40.6605,-73.998,1627
36 Street,D,28,40.65445,-74.00455,1628
9 Avenue,D,29,40.646575,-73.994674,1629
Fort Hamilton Parkway,D,30,40.6407,-73.9944,1630
50 Street,D,31,40.63611,-73.99498,1631
55 Street,D,32,40.631892,-73.995709,1632
62 Street,D,33,40.626086,-73.997887,1633
71 Street,D,34,40.619165,-73.998992,1634
79 Street,D,35,40.61339,-74.001514,1635
18 Avenue,D,36,40.608667,-74.002115,1636
20 Avenue,D,37,40.6047,-73.9985,1637
Bay Parkway,D,38,40.602655,-73.994293,1638
25 Avenue,D,39,40.598607,-73.987352,1639
Bay 50 Street,D,40,40.589279,-73.984122,1640
Coney Island - Stillwell Avenue,D,41,40.577342,-73.981139,1641
Jamaica Center - Parsons/Archer,E,1,40.702407,-73.799973,1701
Sutphin Boulevard / Archer Avenue / JFK Airport,E,2,40.700488,-73.80774,1702
Jamaica - Van Wyck,E,3,40.701905,-73.81656,1703
Briarwood,E,4,40.70969,-73.8196,1704
Kew Gardens - Union Turnpike,E,5,40.714151,-73.830786,1705
75 Avenue,E,6,40.71864,-73.837738,1706
Forest Hills - 71 Avenue,E,7,40.721404,-73.844004,1707
67 Avenue,E,8,40.726966,-73.853703,1708
63 Drive - Rego Park,E,9,40.73,-73.862,1709
Woodhaven Boulevard,E,10,40.73347,-73.870397,1710
Grand Avenue - Newtown,E,11,40.73695,-73.877521,1711
Elmhurst Avenue,E,12,40.741795,-73.88104,1712
Jackson Heights - Roosevelt Avenue,E,13,40.746764,-73.891519,1713
65 Street,E,14,40.7494,-73.8973,1714
Northern Boulevard,E,15,40.753239,-73.906918,1715
46 Street,E,16,40.756685,-73.914256,1716
Steinway Street,E,17,40.758668,-73.918934,1717
36 Street,E,18,40.752036,-73.927903,1718
Queens Plaza,E,19,40.748915,-73.937387,1719
Court Sqaure - 23 Street,E,20,40.747615,-73.945069,1720
Lexington Avenue / 53 Street,E,21,40.757075,-73.971977,1721
5 Avenue / 53 Street,E,22,40.760326,-73.975754,1722
7 Avenue,E,23,40.762959,-73.981891,1723
50 Street,E,24,40.762276,-73.986139,1724
42 Street - Port Authority Bus Terminal,E,25,40.756,-73.987,1725
34 Street - Penn Station,E,26,40.752166,-73.993521,1726
23 Street,E,27,40.745274,-73.998499,1727
14 Street,E,28,40.739779,-74.002533,1728
West 4 Street,E,29,40.731682,-74.000945,1729
Spring Street,E,30,40.725503,-74.004035,1730
Canal Street,E,31,40.72186,-74.005365,1731
World Trade Center,E,32,40.712655,-74.009657,1732
Jamaica - 179 Street,F,1,40.712459,-73.78448,1801
169 Street,F,2,40.710638,-73.793063,1802
Parsons Boulevard,F,3,40.70771,-73.802762,1803
Sutphin Boulevard,F,4,40.705726,-73.809714,1804
Briarwood,F,5,40.70969,-73.8196,1805
Kew Gardens Union Turnpike,F,6,40.714151,-73.830786,1806
75 Avenue,F,7,40.71864,-73.837738,1807
Forest Hills - 71 Avenue,F,8,40.721404,-73.844004,1808
Jackson Heights - Roosevelt Avenue,F,9,40.746764,-73.891519,1809
21 Street - Queensbridge / 41 Avenue,F,10,40.753954,-73.942451,1810
Roosevelt Island,F,11,40.759188,-73.953438,1811
Lexington Avenue / 63 Street,F,12,40.764649,-73.966398,1812
57 Street,F,13,40.764259,-73.977213,1813
47-50 Streets - Rockefeller Center,F,14,40.758603,-73.981376,1814
42 Street - Bryant Park,F,15,40.754799,-73.984208,1815
34 Street - Herald Square,F,16,40.749338,-73.987985,1816
23 Street,F,17,40.742933,-73.992877,1817
14 Street,F,18,40.737328,-73.996796,1818
West 4 Street,F,19,40.731682,-74.000945,1819
Broadway - Lafayette Street / Bleecker Street,F,20,40.725833,-73.994722,1820
Lower East Side - 2 Avenue,F,21,40.723616,-73.991117,1821
Delancey Street,F,22,40.71851,-73.988199,1822
East Broadway,F,23,40.714216,-73.990259,1823
York Street,F,24,40.701529,-73.986783,1824
Jay Street - Metro Tech,F,25,40.693681,-73.987233,1825
Bergen Street,F,26,40.687253,-73.990006,1826
Carroll Street,F,27,40.6802,-73.9948,1827
Smith - 9 Streets,F,28,40.67425,-73.996842,1828
4 Avenue,F,29,40.670956,-73.991397,1829
7 Avenue,F,30,40.666831,-73.9816,1830
15 Street - Prospect Park,F,31,40.660544,-73.979983,1831
Fort Hamilton Parkway,F,32,40.651456,-73.975856,1832
Church Avenue,F,33,40.642792,-73.979431,1833
Ditmas Avenue,F,34,40.636264,-73.978172,1834
18 Avenue,F,35,40.629625,-73.976964,1835
Avenue I,F,36,40.625922,-73.976219,1836
Bay Parkway,F,37,40.620861,-73.975231,1837
Avenue N,F,38,40.615044,-73.974219,1838
Avenue P,F,39,40.608739,-73.973014,1839
Kings Highway,F,40,40.603186,-73.972344,1840
Avenue U,F,41,40.59615,-73.973319,1841
Avenue X,F,42,40.590142,-73.974125,1842
Neptune Avenue,F,43,40.580397,-73.974567,1843
West 8 Street - New York Aquarium,F,44,40.576178,-73.9758,1844
Coney Island - Stillwell Avenue,F,45,40.577342,-73.981139,1845
Court Square,G,1,40.747615,-73.945069,1901
21 Street,G,2,40.744591,-73.948674,1902
Greenpoint Avenue,G,3,40.730153,-73.954296,1903
Nassau Avenue,G,4,40.723811,-73.95082,1904
Metropolitan Avenue,G,5,40.712752,-73.951464,1905
Broadway,G,6,40.705433,-73.950219,1906
